anime;anime_img;episodes;rate
Toradora!;https://img1.ak.crunchyroll.com/i/spire2/0c40842ee6753a33e292ab258eb901171406587958_full.jpg;25;482
Ano Natsu de Matteru;https://img1.ak.crunchyroll.com/i/spire4/421d404c6a1cfb9f5e103b709cf364981325706809_full.jpg;0;469
KILL la KILL;https://img1.ak.crunchyroll.com/i/spire3/5142ab9ed5dd56153b731de52021ac5b1379547918_full.jpg;24;46
The Ancient Magus' Bride;https://img1.ak.crunchyroll.com/i/spire2/fcd25c135faf173a4d8a67a82b3400b71507240910_full.jpg;54;479
Mushi-Uta;https://img1.ak.crunchyroll.com/i/spire1/b73927f56c55406884a13d22d2fcf7c51289443377_full.jpg;0;473
Fairy Tail;https://img1.ak.crunchyroll.com/i/spire2/f4ca1a545a471a9ce6e43eef8e8d72541539734102_full.jpg;153;436
Yuri!!! on ICE;https://img1.ak.crunchyroll.com/i/spire1/ef5256ff4c4090c9fd1440592f1a0a2e1500413854_full.jpg;12;483
Hourou Musuko Wandering Son;https://img1.ak.crunchyroll.com/i/spire1/9c7927b063b3e7f70fb0a52d422e54851293496905_full.jpg;0;475
Kuroko's Basketball;https://img1.ak.crunchyroll.com/i/spire1/be611b65eb36149005789b740efc7a361333664528_full.jpg;82;482
Battle Girls - Time Paradox;https://img1.ak.crunchyroll.com/i/spire1/f87223bb31cd0d77560f8503f3e58f761301595298_full.jpg;0;457
Fist of the North Star;https://img1.ak.crunchyroll.com/i/spire3/3eba7becdfbb91a33b2086ba7c05481a1237311049_full.jpg;0;467
Level E;https://img1.ak.crunchyroll.com/i/spire1/205ca28fbb216ef83c82c422660298e01293489455_full.jpg;0;464
RH Plus;https://img1.ak.crunchyroll.com/i/spire3/25564a486ef76f238834f427ce86d0931273803742_full.jpg;0;463
"Say ""I love you.""";https://img1.ak.crunchyroll.com/i/spire4/edbd0bb8d5722f91def4c4c8c45327431351191195_full.jpg;13;457
Log Horizon;https://img1.ak.crunchyroll.com/i/spire4/f39842bd473e2db08ea8a1d8849c93ae1412197326_full.jpg;50;455
Working!;https://img1.ak.crunchyroll.com/i/spire1/89ac3ce291c61a1d812ea7313675275e1435186540_full.jpg;14;478
